id,club,city,state,contact_name,email,page_url,hook,status,sent_date,followup_date,response,badge_installed,notes
5,Wynwood Padel Club,Miami,FL,,manager@wynwoodpadelclub.com,https://www.padelcourtsfinder.com/courts/wynwood-padel-club,refreshed your listing with verified pricing and details,ready,,,,,verified live; alt jose@wynwoodpadelclub.com (Ops)
27,Padel Haus Nashville,Nashville,TN,Josh (partnerships),josh@padel.haus,https://www.padelcourtsfinder.com/courts/padel-haus-nashville,refreshed your listing with verified details,ready,,,,,published for partnership inquiries; alt nashville@padel.haus
107,Padel 956,McAllen,TX,,,https://www.padelcourtsfinder.com/courts/padel-956,added your membership pricing and hours,no_email,,,,,no email; IG DM @padel956
141,Padel Pals,Mesa,AZ,,support@padel-pals.com,https://www.padelcourtsfinder.com/courts/padel-pals,added your court pricing ($80/hr) and player review highlights,ready,,,,,
155,10by20 Padel Downtown Fort Lauderdale,Fort Lauderdale,FL,Manu Caracotche,Manuel.caracotche@10by20.com,https://www.padelcourtsfinder.com/courts/10by20-padel-downtown-fort-lauderdale,refreshed your listing with verified details,ready,,,,,via USPA listing; covers all 10by20 locations
157,Cube Padel - Chicago,Chicago,IL,,info@cubepadel.com,https://www.padelcourtsfinder.com/courts/cube-padel-chicago,refreshed your listing with verified details,ready,,,,,one inbox for Houston+Chicago
158,Union Padel Club,Chicago,IL,,info@unionpadelclub.com,https://www.padelcourtsfinder.com/courts/union-padel-club,"added your court pricing ($35/hr non-member), hours, and player review highlights",ready,,,,,
164,Sensa Padel - Nashville,Nashville,TN,Pablo,pablo@sensapadel.com,https://www.padelcourtsfinder.com/courts/sensa-padel-nashville,refreshed your listing with verified details,ready,,,,,
165,Charlotte Padel Club,Matthews,NC,,info@charlottepadelclub.com,https://www.padelcourtsfinder.com/courts/charlotte-padel-club,"added your phone, hours, Instagram, and player review highlights",ready,,,,,
175,Los Angeles Padel Club,Los Angeles,CA,,info@thelapc.com,https://www.padelcourtsfinder.com/courts/los-angeles-padel-club,set up your page ahead of opening (marked coming soon - tell us your open date!),ready,,,,,club opens 2026 - listed as coming soon
