Country,Clicks,Impressions,CTR,Position
United States,1168,95949,1.22%,9.01
United Kingdom,69,4559,1.51%,14.73
Indonesia,38,1656,2.29%,8.65
Germany,28,2315,1.21%,8.31
Netherlands,19,2448,0.78%,10.72
Canada,16,911,1.76%,9.16
Spain,16,808,1.98%,9.19
Singapore,16,337,4.75%,6.93
Australia,15,632,2.37%,8.76
Mexico,14,813,1.72%,9.81
France,12,573,2.09%,9.59
South Africa,12,429,2.8%,8.17
Portugal,11,324,3.4%,8.03
Switzerland,9,212,4.25%,8.48
India,8,589,1.36%,9.88
Pakistan,8,417,1.92%,10.35
Belgium,7,319,2.19%,8.66
Ireland,7,242,2.89%,8.69
Puerto Rico,6,674,0.89%,8.06
Italy,6,482,1.24%,8.95
Egypt,6,352,1.7%,8.97
Sweden,6,229,2.62%,10.85
Greece,6,147,4.08%,6.97
Latvia,6,70,8.57%,8.19
Turkey,5,310,1.61%,12.06
Israel,5,282,1.77%,8.5
Denmark,5,191,2.62%,8.35
Austria,5,177,2.82%,8.14
Estonia,5,124,4.03%,7.89
China,5,99,5.05%,11.13
Hungary,4,112,3.57%,7.29
Finland,4,108,3.7%,7.28
Czechia,4,98,4.08%,8.14
Brunei,4,65,6.15%,6.26
United Arab Emirates,3,396,0.76%,11.21
Hong Kong,3,136,2.21%,8.72
Romania,3,134,2.24%,7.08
Chile,3,71,4.23%,9.93
Lithuania,3,49,6.12%,7.51
Saudi Arabia,2,253,0.79%,11.77
Thailand,2,202,0.99%,13.04
Morocco,2,163,1.23%,17.01
Norway,2,146,1.37%,7.95
Japan,2,103,1.94%,8.05
Qatar,2,79,2.53%,7.43
New Zealand,2,78,2.56%,10.21
Kuwait,2,56,3.57%,8.21
Nigeria,2,53,3.77%,8.38
Costa Rica,2,45,4.44%,9.51
Tunisia,2,42,4.76%,8.33
Slovenia,2,30,6.67%,6.53
Mauritius,2,18,11.11%,6.28
Vietnam,1,695,0.14%,20.85
Philippines,1,431,0.23%,14.08
Brazil,1,421,0.24%,10.28
Malaysia,1,198,0.51%,12.94
Poland,1,193,0.52%,9.24
Colombia,1,187,0.53%,9.33
Bangladesh,1,141,0.71%,15.86
Ukraine,1,118,0.85%,12.14
Croatia,1,103,0.97%,8.49
Cyprus,1,80,1.25%,7.62
Kenya,1,80,1.25%,8.2
Venezuela,1,49,2.04%,9.98
Georgia,1,47,2.13%,6.94
Guatemala,1,43,2.33%,6.19
Oman,1,41,2.44%,8.56
Honduras,1,25,4%,8.6
Azerbaijan,1,25,4%,9.32
Malta,1,22,4.55%,6.91
Iceland,1,16,6.25%,7.19
Albania,1,15,6.67%,6.4
Aruba,1,8,12.5%,6.5
Côte d’Ivoire,1,8,12.5%,8.38
Mozambique,1,8,12.5%,9.75
Turks & Caicos Islands,1,6,16.67%,6.67
Sint Maarten,1,6,16.67%,8.5
Unknown Region,1,5,20%,7
St. Lucia,1,3,33.33%,5.33
British Virgin Islands,1,1,100%,2
Argentina,0,290,0%,8.82
Russia,0,173,0%,12.65
Dominican Republic,0,161,0%,8.61
Jordan,0,117,0%,11.96
Lebanon,0,105,0%,7.71
Ecuador,0,94,0%,10.76
Peru,0,75,0%,8.28
South Korea,0,74,0%,9.93
Iran,0,66,0%,8.26
Nicaragua,0,56,0%,7.86
Algeria,0,50,0%,17.68
Bulgaria,0,47,0%,7.81
Taiwan,0,42,0%,17.07
Barbados,0,40,0%,6.28
Bahrain,0,37,0%,8.22
Iraq,0,37,0%,16.46
Uruguay,0,34,0%,8.21
Panama,0,33,0%,8.15
Serbia,0,32,0%,8.59
Bahamas,0,30,0%,6.83
Slovakia,0,30,0%,7.9
Syria,0,24,0%,7.79
Malawi,0,22,0%,7.14
Bosnia & Herzegovina,0,22,0%,7.91
El Salvador,0,22,0%,8.95
Jamaica,0,21,0%,9.38
Jersey,0,20,0%,6
Ghana,0,20,0%,8.35
Kazakhstan,0,17,0%,6.88
Bolivia,0,16,0%,11.5
Zambia,0,15,0%,7.2
Sri Lanka,0,15,0%,7.6
Paraguay,0,15,0%,17.8
Curaçao,0,14,0%,8.57
Moldova,0,14,0%,8.79
Trinidad & Tobago,0,14,0%,9.21
Zimbabwe,0,13,0%,4.54
Guernsey,0,13,0%,7.69
Belarus,0,13,0%,8.92
Bermuda,0,12,0%,7.58
Armenia,0,11,0%,6.73
Uzbekistan,0,11,0%,7.45
Libya,0,11,0%,8
Gibraltar,0,11,0%,9.64
Tanzania,0,10,0%,4.9
Guyana,0,10,0%,8.6
Suriname,0,9,0%,6.89
Namibia,0,9,0%,7.33
Luxembourg,0,9,0%,7.44
Kosovo,0,9,0%,8.33
Nepal,0,9,0%,12.67
Montenegro,0,8,0%,6
Cambodia,0,8,0%,6.12
Belize,0,7,0%,2.71
St. Martin,0,7,0%,5
Palestine,0,7,0%,9.57
Angola,0,6,0%,7.67
Guam,0,6,0%,8
Haiti,0,6,0%,9.17
Ethiopia,0,6,0%,12.33
Maldives,0,6,0%,14.33
Swaziland,0,5,0%,6.6
Macedonia,0,5,0%,6.8
Faroe Islands,0,5,0%,7.2
Senegal,0,5,0%,15.2
Uganda,0,5,0%,24.2
Madagascar,0,4,0%,4.75
Laos,0,4,0%,6.5
Cameroon,0,4,0%,6.75
Myanmar (Burma),0,4,0%,8.25
Cayman Islands,0,4,0%,9.25
Equatorial Guinea,0,3,0%,5
U.S. Virgin Islands,0,3,0%,6
Kyrgyzstan,0,3,0%,6.33
French Polynesia,0,3,0%,6.33
Rwanda,0,3,0%,7
Macau,0,3,0%,7.33
New Caledonia,0,3,0%,7.33
Seychelles,0,3,0%,8
Burundi,0,3,0%,8.67
Botswana,0,3,0%,10
Cape Verde,0,2,0%,3
Congo - Brazzaville,0,2,0%,4
Somalia,0,2,0%,6.5
Afghanistan,0,2,0%,7
Yemen,0,2,0%,7
Liechtenstein,0,2,0%,9
Liberia,0,2,0%,11
Western Sahara,0,2,0%,14.5
Mali,0,2,0%,18.5
Togo,0,2,0%,23.5
Svalbard & Jan Mayen,0,1,0%,2
Turkmenistan,0,1,0%,3
Cuba,0,1,0%,5
Guinea,0,1,0%,5
Grenada,0,1,0%,5
Caribbean Netherlands,0,1,0%,6
Dominica,0,1,0%,6
Gambia,0,1,0%,6
St. Pierre & Miquelon,0,1,0%,6
Monaco,0,1,0%,7
Central African Republic,0,1,0%,8
Congo - Kinshasa,0,1,0%,8
Djibouti,0,1,0%,8
St. Barthélemy,0,1,0%,9
Guadeloupe,0,1,0%,10
Mongolia,0,1,0%,10
Anguilla,0,1,0%,11
Andorra,0,1,0%,11
St. Kitts & Nevis,0,1,0%,11
Lesotho,0,1,0%,11
Solomon Islands,0,1,0%,11
Timor-Leste,0,1,0%,12
St. Vincent & Grenadines,0,1,0%,12
Martinique,0,1,0%,18
Burkina Faso,0,1,0%,30
Gabon,0,1,0%,33
