Top pages,Clicks,Impressions,CTR,Position
https://www.padelcourtsfinder.com/new-york,165,6863,2.4%,8.37
https://www.padelcourtsfinder.com/,53,3243,1.63%,15.28
https://www.padelcourtsfinder.com/blog/best-padel-rackets-intermediate,49,3083,1.59%,11.21
https://www.padelcourtsfinder.com/florida/fort-lauderdale,43,759,5.67%,5.49
https://www.padelcourtsfinder.com/blog/best-padel-rackets-control,38,1003,3.79%,9.19
https://www.padelcourtsfinder.com/blog/best-padel-clubs-phoenix,36,1692,2.13%,6.15
https://www.padelcourtsfinder.com/blog/best-padel-shoes,30,2151,1.39%,10.12
https://www.padelcourtsfinder.com/blog/best-padel-rackets-beginners,29,2683,1.08%,12.04
https://www.padelcourtsfinder.com/blog/best-padel-clubs-san-francisco,26,1868,1.39%,7.68
https://www.padelcourtsfinder.com/blog/best-padel-bags,26,439,5.92%,8.48
https://www.padelcourtsfinder.com/blog/head-extreme-pro-review,25,732,3.42%,8.3
https://www.padelcourtsfinder.com/maryland,25,669,3.74%,8.09
https://www.padelcourtsfinder.com/georgia/atlanta,24,910,2.64%,6.57
https://www.padelcourtsfinder.com/connecticut,24,450,5.33%,7.2
https://www.padelcourtsfinder.com/new-jersey,23,893,2.58%,7.76
https://www.padelcourtsfinder.com/texas/houston,20,1465,1.37%,8.12
https://www.padelcourtsfinder.com/blog/best-padel-clubs-chicago,20,1433,1.4%,8.18
https://www.padelcourtsfinder.com/new-york/brooklyn,20,635,3.15%,6.45
https://www.padelcourtsfinder.com/courts/ultra-padel-club,19,1715,1.11%,8.59
https://www.padelcourtsfinder.com/california,19,1145,1.66%,9.47
https://www.padelcourtsfinder.com/massachusetts,19,876,2.17%,9.09
https://www.padelcourtsfinder.com/courts/eko-padel-and-pickle,18,1739,1.04%,8.02
https://www.padelcourtsfinder.com/courts/padel-956,18,1327,1.36%,4.4
https://www.padelcourtsfinder.com/california/los-angeles,17,2132,0.8%,11.44
https://www.padelcourtsfinder.com/blog/best-padel-clubs-miami,17,1438,1.18%,8.87
https://www.padelcourtsfinder.com/blog/best-padel-clubs-new-jersey,16,911,1.76%,7.91
https://www.padelcourtsfinder.com/courts/cascadia-padel,16,79,20.25%,3.62
https://www.padelcourtsfinder.com/blog/best-padel-rackets-2026,15,1304,1.15%,10.54
https://www.padelcourtsfinder.com/courts/padel-x-boca-raton,14,957,1.46%,6.95
https://www.padelcourtsfinder.com/florida/tampa,14,554,2.53%,7.99
https://www.padelcourtsfinder.com/blog/nox-at10-genius-18k-review,13,779,1.67%,10.79
https://www.padelcourtsfinder.com/illinois/chicago,13,624,2.08%,7.83
https://www.padelcourtsfinder.com/north-carolina,13,441,2.95%,7.54
https://www.padelcourtsfinder.com/georgia,13,285,4.56%,7.32
https://www.padelcourtsfinder.com/courts/golden-point-padel,13,154,8.44%,7.34
https://www.padelcourtsfinder.com/blog/best-padel-clubs-ohio,12,646,1.86%,7.67
https://www.padelcourtsfinder.com/courts/elite-sports-club-at-111-west-57th-street,12,506,2.37%,5.09
https://www.padelcourtsfinder.com/florida/orlando,11,951,1.16%,8.1
https://www.padelcourtsfinder.com/courts/lobbs-padel,11,794,1.39%,7.52
https://www.padelcourtsfinder.com/blog/best-padel-clubs-atlanta,11,502,2.19%,8.92
https://www.padelcourtsfinder.com/blog/best-padel-clubs-dallas,10,1363,0.73%,7.97
https://www.padelcourtsfinder.com/courts/the-field-club-of-greenwich,10,844,1.18%,7.1
https://www.padelcourtsfinder.com/virginia,10,642,1.56%,7.74
https://www.padelcourtsfinder.com/south-carolina,10,398,2.51%,8.85
https://www.padelcourtsfinder.com/ohio,10,317,3.15%,6.67
https://www.padelcourtsfinder.com/courts/columbia-racquet-club,10,151,6.62%,7
