Top pages,Clicks,Impressions,CTR,Position
https://www.padelcourtsfinder.com/new-york,184,7228,2.55%,8.16
https://www.padelcourtsfinder.com/,67,3406,1.97%,15.93
https://www.padelcourtsfinder.com/florida/fort-lauderdale,45,802,5.61%,5.45
https://www.padelcourtsfinder.com/blog/best-padel-shoes,43,2867,1.5%,10.26
https://www.padelcourtsfinder.com/blog/best-padel-rackets-control,43,1056,4.07%,9.99
https://www.padelcourtsfinder.com/blog/best-padel-bags,32,568,5.63%,8.33
https://www.padelcourtsfinder.com/blog/best-padel-clubs-phoenix,31,1527,2.03%,6.55
https://www.padelcourtsfinder.com/blog/head-extreme-pro-review,28,925,3.03%,8.3
https://www.padelcourtsfinder.com/courts/cascadia-padel,27,159,16.98%,3.89
https://www.padelcourtsfinder.com/california/los-angeles,26,2330,1.12%,11.2
https://www.padelcourtsfinder.com/blog/best-padel-rackets-intermediate,26,1876,1.39%,13.15
https://www.padelcourtsfinder.com/courts/ultra-padel-club,25,2327,1.07%,7.71
https://www.padelcourtsfinder.com/blog/best-padel-rackets-beginners,25,1882,1.33%,13.48
https://www.padelcourtsfinder.com/connecticut,24,440,5.45%,6.68
https://www.padelcourtsfinder.com/courts/eko-padel-and-pickle,22,2070,1.06%,7.98
https://www.padelcourtsfinder.com/blog/best-padel-clubs-san-francisco,22,1943,1.13%,7.9
https://www.padelcourtsfinder.com/blog/nox-at10-genius-18k-review,22,1288,1.71%,10.38
https://www.padelcourtsfinder.com/courts/padel-x-boca-raton,21,1102,1.91%,6.86
https://www.padelcourtsfinder.com/new-jersey,20,865,2.31%,7.94
https://www.padelcourtsfinder.com/georgia/atlanta,20,790,2.53%,6.45
https://www.padelcourtsfinder.com/new-york/brooklyn,20,671,2.98%,6.01
https://www.padelcourtsfinder.com/texas/houston,19,1386,1.37%,7.95
https://www.padelcourtsfinder.com/california,19,1023,1.86%,9.09
https://www.padelcourtsfinder.com/blog/best-padel-clubs-new-jersey,19,879,2.16%,8.24
https://www.padelcourtsfinder.com/blog/best-teardrop-padel-rackets,19,337,5.64%,8.43
https://www.padelcourtsfinder.com/blog/best-padel-clubs-chicago,18,1528,1.18%,8.15
https://www.padelcourtsfinder.com/courts/lobbs-padel,18,907,1.98%,7.69
https://www.padelcourtsfinder.com/maryland,16,666,2.4%,8.15
https://www.padelcourtsfinder.com/florida/tampa,16,577,2.77%,7.96
https://www.padelcourtsfinder.com/north-carolina,16,488,3.28%,7.3
https://www.padelcourtsfinder.com/courts/padel-956,15,1221,1.23%,5.11
https://www.padelcourtsfinder.com/florida/orlando,15,1077,1.39%,8.19
https://www.padelcourtsfinder.com/blog/best-padel-clubs-atlanta,15,649,2.31%,8.16
https://www.padelcourtsfinder.com/blog/best-padel-clubs-ohio,15,503,2.98%,7.63
https://www.padelcourtsfinder.com/blog/best-padel-clubs-miami,14,1362,1.03%,9.14
https://www.padelcourtsfinder.com/blog/best-padel-rackets-2026,13,874,1.49%,11.92
https://www.padelcourtsfinder.com/blog/best-padel-clubs-charlotte,13,737,1.76%,7.78
https://www.padelcourtsfinder.com/blog/best-padel-clubs-philadelphia,12,1157,1.04%,9.42
https://www.padelcourtsfinder.com/massachusetts,12,751,1.6%,9.09
