Date,Not indexed,Indexed,Impressions
2026-05-10,616,337,3202
2026-05-11,611,340,3036
2026-05-12,611,340,3094
2026-05-13,611,340,2916
2026-05-14,611,340,2927
2026-05-15,599,352,3093
2026-05-16,599,352,2913
2026-05-17,599,352,2921
2026-05-18,592,355,2600
2026-05-19,592,355,2591
2026-05-20,592,355,2513
2026-05-21,592,355,2554
2026-05-22,587,359,2840
2026-05-23,587,359,3123
2026-05-24,587,359,2934
2026-05-25,588,388,2797
2026-05-26,588,388,3222
2026-05-27,588,388,3191
2026-05-28,588,388,3204
2026-05-29,577,395,3673
2026-05-30,577,395,3574
2026-05-31,577,395,3756
2026-06-01,581,388,4154
2026-06-02,581,388,3531
2026-06-03,581,388,3628
2026-06-04,581,388,3321
2026-06-05,574,395,3521
2026-06-06,574,395,3855
2026-06-07,574,395,3730
2026-06-08,566,407,3832
2026-06-09,566,407,4307
2026-06-10,566,407,3457
2026-06-11,566,407,3397
2026-06-12,542,422,3500
2026-06-13,542,422,3333
2026-06-14,542,422,3614
2026-06-15,542,422,3306
2026-06-16,542,422,3527
2026-06-17,542,422,3472
2026-06-18,542,422,3207
2026-06-19,542,422,3410
2026-06-20,542,422,3153
2026-06-21,542,422,3637
2026-06-22,542,422,3864
2026-06-23,542,422,3130
2026-06-24,542,422,3316
2026-06-25,542,422,3628
2026-06-26,542,422,4690
2026-06-27,542,422,3907
2026-06-28,542,422,3960
2026-06-29,542,422,3599
2026-06-30,528,571,3409
2026-07-01,528,571,3374
2026-07-02,528,571,3175
2026-07-03,528,571,3360
2026-07-04,528,571,3573
2026-07-05,528,571,4257
2026-07-06,528,571,4232
2026-07-07,528,571,4812
2026-07-08,528,571,5303
2026-07-09,528,571,5563
2026-07-10,480,600,4795
2026-07-11,480,600,5047
2026-07-12,480,600,5098
2026-07-13,480,600,4700
2026-07-14,480,600,4432
2026-07-15,480,600,4223
2026-07-16,480,600,4189
2026-07-17,480,600,4432
2026-07-18,480,600,3547
2026-07-19,480,600,4259
2026-07-20,480,600,4258
2026-07-21,480,600,4935
2026-07-22,480,600,4513
2026-07-23,480,600,4570
2026-07-24,471,616,4478
2026-07-25,471,616,4782
2026-07-26,471,616,4922
2026-07-27,471,616,4819
2026-07-28,471,616,4676
2026-07-29,471,616,4826
2026-07-30,471,616,4364
2026-07-31,471,616,4638
2026-08-01,471,616,4673
2026-08-02,471,616,4760
2026-08-03,471,616,5159
2026-08-04,471,616,5066
2026-08-05,469,617,5060
2026-08-06,469,617,4591
