Country,Clicks,Impressions,CTR,Position
United States,403,35638,1.13%,9.23
United Kingdom,41,2313,1.77%,12.08
Indonesia,20,828,2.42%,9.37
Germany,15,604,2.48%,7.49
Spain,11,415,2.65%,9.99
Belgium,11,174,6.32%,7.55
Netherlands,9,588,1.53%,13.09
Canada,8,422,1.9%,9.49
Portugal,8,179,4.47%,10.16
Australia,6,321,1.87%,8.83
France,6,252,2.38%,11.99
Thailand,6,209,2.87%,15.28
Singapore,6,200,3%,6.83
Israel,6,172,3.49%,7.58
Switzerland,6,91,6.59%,7.8
Poland,6,71,8.45%,7.65
United Arab Emirates,5,288,1.74%,8.76
Italy,5,202,2.48%,8.57
India,4,368,1.09%,12.14
Argentina,4,118,3.39%,7.84
Mexico,3,304,0.99%,10.28
Pakistan,3,234,1.28%,9.77
Saudi Arabia,3,169,1.78%,12.64
Sweden,3,85,3.53%,9.94
Austria,3,58,5.17%,7.97
Croatia,3,40,7.5%,7.47
Puerto Rico,2,291,0.69%,7.73
Turkey,2,264,0.76%,16.36
South Africa,2,236,0.85%,6.92
Ireland,2,171,1.17%,7.97
Brazil,2,136,1.47%,6.96
Denmark,2,115,1.74%,9.15
Finland,2,80,2.5%,7.42
Romania,2,78,2.56%,7.59
Morocco,2,73,2.74%,17.77
Greece,2,71,2.82%,8.54
Iran,2,20,10%,6.1
Costa Rica,2,17,11.76%,7.53
Philippines,1,333,0.3%,17.78
Malaysia,1,123,0.81%,14.89
Jordan,1,108,0.93%,15.36
Ukraine,1,76,1.32%,18.09
New Zealand,1,65,1.54%,6.72
Dominican Republic,1,60,1.67%,9.87
Japan,1,57,1.75%,9.86
Colombia,1,48,2.08%,7.33
Latvia,1,38,2.63%,9.37
Czechia,1,37,2.7%,7.38
Hungary,1,36,2.78%,8.03
Georgia,1,34,2.94%,8.03
Nigeria,1,29,3.45%,6.69
Panama,1,29,3.45%,7.21
Chile,1,22,4.55%,7.82
Lithuania,1,22,4.55%,8.95
Paraguay,1,16,6.25%,7.69
Uruguay,1,16,6.25%,9.25
Oman,1,14,7.14%,5.71
Malta,1,13,7.69%,8.46
