Top pages,Clicks,Impressions,CTR,Position
https://www.padelcourtsfinder.com/new-york,1,168,0.6%,8.42
https://www.padelcourtsfinder.com/blog/best-padel-clubs-atlanta,1,7,14.29%,6.86
https://www.padelcourtsfinder.com/california/los-angeles,0,130,0%,7.4
https://www.padelcourtsfinder.com/massachusetts,0,59,0%,9.36
https://www.padelcourtsfinder.com/florida/miami,0,41,0%,7.27
https://www.padelcourtsfinder.com/blog/best-padel-clubs-dallas,0,31,0%,8.97
https://www.padelcourtsfinder.com/blog/best-padel-clubs-san-francisco,0,30,0%,9.43
https://www.padelcourtsfinder.com/florida/orlando,0,28,0%,6.86
https://www.padelcourtsfinder.com/texas/houston,0,27,0%,8
https://www.padelcourtsfinder.com/new-jersey,0,27,0%,10.89
https://www.padelcourtsfinder.com/,0,27,0%,32.81
https://www.padelcourtsfinder.com/padel-near/seattle,0,24,0%,8.12
https://www.padelcourtsfinder.com/texas/austin,0,23,0%,6.61
https://www.padelcourtsfinder.com/virginia,0,23,0%,9.3
https://www.padelcourtsfinder.com/maryland,0,21,0%,8.86
https://www.padelcourtsfinder.com/illinois/chicago,0,20,0%,8.55
https://www.padelcourtsfinder.com/california/san-diego,0,20,0%,10.15
https://www.padelcourtsfinder.com/georgia/atlanta,0,19,0%,8.47
https://www.padelcourtsfinder.com/blog/best-padel-clubs-philadelphia,0,19,0%,8.95
https://www.padelcourtsfinder.com/blog/best-padel-clubs-chicago,0,16,0%,6.88
https://www.padelcourtsfinder.com/north-carolina,0,15,0%,10.6
https://www.padelcourtsfinder.com/florida/fort-lauderdale,0,14,0%,5.21
https://www.padelcourtsfinder.com/search,0,13,0%,87.38
https://www.padelcourtsfinder.com/south-carolina,0,11,0%,10
https://www.padelcourtsfinder.com/california,0,11,0%,10.64
https://www.padelcourtsfinder.com/padel-near/indianapolis,0,10,0%,10.2
https://www.padelcourtsfinder.com/florida/tampa,0,9,0%,7.33
https://www.padelcourtsfinder.com/blog/best-padel-clubs-phoenix,0,8,0%,9
https://www.padelcourtsfinder.com/courts/rgv-padel-club,0,8,0%,9.5
https://www.padelcourtsfinder.com/connecticut,0,8,0%,9.62
https://www.padelcourtsfinder.com/ohio/cincinnati,0,8,0%,10.12
https://www.padelcourtsfinder.com/pennsylvania,0,8,0%,10.62
https://www.padelcourtsfinder.com/courts/the-field-club-of-greenwich,0,7,0%,10.43
https://www.padelcourtsfinder.com/oklahoma/oklahoma-city,0,6,0%,5.5
https://www.padelcourtsfinder.com/courts/swim-and-racquet-club,0,6,0%,7
https://www.padelcourtsfinder.com/puerto-rico/san-juan,0,6,0%,7.17
https://www.padelcourtsfinder.com/pennsylvania/lancaster,0,6,0%,8.33
https://www.padelcourtsfinder.com/courts/park-padel-west-sacramento,0,6,0%,10.17
https://www.padelcourtsfinder.com/courts/columbia-racquet-club,0,5,0%,5.8
https://www.padelcourtsfinder.com/padel-near/wichita,0,5,0%,6.2
https://www.padelcourtsfinder.com/blog/best-padel-clubs-charlotte,0,5,0%,9.8
https://www.padelcourtsfinder.com/courts/charlotte-padel-club-south-charlotte,0,5,0%,10.4
https://www.padelcourtsfinder.com/courts/padel-x-boca-raton,0,5,0%,10.6
https://www.padelcourtsfinder.com/ohio,0,5,0%,10.6
https://www.padelcourtsfinder.com/courts/padel-haus-nashville,0,5,0%,11.4
https://www.padelcourtsfinder.com/illinois,0,5,0%,42
https://www.padelcourtsfinder.com/courts/the-padel-courts,0,5,0%,80
https://www.padelcourtsfinder.com/new-york/brooklyn,0,4,0%,6.25
https://www.padelcourtsfinder.com/virginia/richmond,0,4,0%,7.5
https://www.padelcourtsfinder.com/padel-near/st-louis,0,4,0%,7.75
https://www.padelcourtsfinder.com/courts/padel-ranch,0,4,0%,11.25
https://www.padelcourtsfinder.com/padel-near/durham,0,3,0%,5.67
https://www.padelcourtsfinder.com/padel-near/riverside,0,3,0%,9.67
https://www.padelcourtsfinder.com/arizona,0,3,0%,10
https://www.padelcourtsfinder.com/padel-near/santa-ana,0,3,0%,10.67
https://www.padelcourtsfinder.com/courts/rad-padel,0,2,0%,6
https://padelcourtsfinder.com/courts/padel-social-bethesda,0,2,0%,6.5
https://www.padelcourtsfinder.com/california/sunnyvale,0,2,0%,6.5
https://padelcourtsfinder.com/courts/the-king-of-padel-san-antonio,0,2,0%,7
https://www.padelcourtsfinder.com/connecticut/newington,0,2,0%,7.5
https://www.padelcourtsfinder.com/padel-near/newark,0,2,0%,7.5
https://www.padelcourtsfinder.com/courts/padel-park-inc,0,2,0%,9
https://www.padelcourtsfinder.com/kentucky/louisville,0,2,0%,10
https://www.padelcourtsfinder.com/padel-near/madison,0,2,0%,10
https://www.padelcourtsfinder.com/georgia,0,2,0%,10.5
https://www.padelcourtsfinder.com/courts/dallas-padel-club,0,1,0%,2
https://www.padelcourtsfinder.com/courts/padel-country-club-memorial,0,1,0%,2
https://www.padelcourtsfinder.com/california/torrance,0,1,0%,4
https://www.padelcourtsfinder.com/florida/boynton-beach,0,1,0%,4
https://www.padelcourtsfinder.com/courts/st-pete-athletic,0,1,0%,5
https://www.padelcourtsfinder.com/florida/st.-petersburg,0,1,0%,8
https://www.padelcourtsfinder.com/blog/best-padel-clubs-san-diego,0,1,0%,9
https://www.padelcourtsfinder.com/courts/pure-pickleball-padel,0,1,0%,9
https://www.padelcourtsfinder.com/colorado,0,1,0%,10
https://www.padelcourtsfinder.com/courts/greencroft-club,0,1,0%,10
https://www.padelcourtsfinder.com/courts/padel-956,0,1,0%,10
https://www.padelcourtsfinder.com/padel-near/knoxville,0,1,0%,10
https://www.padelcourtsfinder.com/padel-near/garland,0,1,0%,11
https://www.padelcourtsfinder.com/padel-near/oxnard,0,1,0%,11
https://www.padelcourtsfinder.com/rhode-island,0,1,0%,11
https://www.padelcourtsfinder.com/utah/salt-lake-city,0,1,0%,11
https://www.padelcourtsfinder.com/kansas,0,1,0%,16
https://www.padelcourtsfinder.com/courts/the-pad-sarasota,0,1,0%,90
