keyword,location,device,position,previous_position,delta,ranking_url,search_volume,serp_features,status
padel courts near me,US,all,6.6,6.7,0.1,https://www.padelcourtsfinder.com/,,,flat
padel near me,US,all,7.1,7.1,0.0,https://www.padelcourtsfinder.com/,,,flat
padel nyc,US,all,4.9,5.1,0.2,https://www.padelcourtsfinder.com/new-york,,,flat
how do i get started playing padel?,US,all,2.0,1.9,-0.1,https://padelcourtsfinder.com/,,,flat
padel court near me,US,all,7.6,7.7,0.1,https://www.padelcourtsfinder.com/,,,flat
padel courts nyc,US,all,2.7,2.9,0.2,https://www.padelcourtsfinder.com/new-york,,,flat
padel new york,US,all,5.1,5.2,0.1,https://www.padelcourtsfinder.com/new-york,,,flat
padel court,US,all,8.2,8.4,0.2,https://www.padelcourtsfinder.com/new-york,,,flat
best teardrop padel racket,US,all,6.4,6.1,-0.3,https://www.padelcourtsfinder.com/blog/best-teardrop-padel-rackets,,,flat
padel atlanta,US,all,7.6,7.6,0.0,https://www.padelcourtsfinder.com/blog/best-padel-clubs-atlanta,,,flat
padel chicago,US,all,6.6,7.1,0.5,https://www.padelcourtsfinder.com/blog/best-padel-clubs-chicago,,,flat
padel fort lauderdale,US,all,5.3,5.0,-0.3,https://www.padelcourtsfinder.com/florida/fort-lauderdale,,,flat
padel los angeles,US,all,8.7,9.7,1.0,https://www.padelcourtsfinder.com/california/los-angeles,,,gained
best padel racket for beginners,US,all,17.3,19.6,2.3,https://www.padelcourtsfinder.com/blog/best-padel-rackets-beginners,,,gained
nox at10 genius 18k 2026 review,US,all,6.3,7.2,0.9,https://www.padelcourtsfinder.com/blog/nox-at10-genius-18k-review,,,flat
nox at10 genius 18k review,US,all,6.9,7.7,0.8,https://www.padelcourtsfinder.com/blog/nox-at10-genius-18k-review,,,flat
padel in nyc,US,all,4.3,4.5,0.2,https://www.padelcourtsfinder.com/new-york,,,flat
best padel racket 2026,US,all,13.1,,,https://www.padelcourtsfinder.com/blog/best-padel-rackets-2026,,,new
cascadia padel,US,all,3.2,3.4,0.2,https://www.padelcourtsfinder.com/courts/cascadia-padel,,,flat
nyc padel,US,all,4.6,4.7,0.1,https://www.padelcourtsfinder.com/new-york,,,flat
padel club near me,US,all,10.7,11.0,0.3,https://www.padelcourtsfinder.com/,,,flat
padel courts,US,all,8.8,9.4,0.6,https://www.padelcourtsfinder.com/new-york,,,flat
best teardrop padel rackets,US,all,9.1,10.1,1.0,https://www.padelcourtsfinder.com/blog/best-teardrop-padel-rackets,,,gained
padel court nyc,US,all,6.6,,,https://www.padelcourtsfinder.com/new-york,,,new
where to play padel in nyc,US,all,2.9,3.3,0.4,https://www.padelcourtsfinder.com/new-york,,,flat
wilson blade elite v2,US,all,7.2,7.5,0.3,https://www.padelcourtsfinder.com/blog/wilson-blade-elite-v2-review,,,flat
new york padel,US,all,4.4,4.7,0.3,https://www.padelcourtsfinder.com/new-york,,,flat
nyc padel courts,US,all,5.1,5.1,0.0,https://www.padelcourtsfinder.com/new-york,,,flat
padel charlotte nc,US,all,7.8,7.9,0.1,https://www.padelcourtsfinder.com/blog/best-padel-clubs-charlotte,,,flat
padel club chicago,US,all,4.9,5.1,0.2,https://www.padelcourtsfinder.com/blog/best-padel-clubs-chicago,,,flat
ultra padel,US,all,8.4,8.6,0.2,https://www.padelcourtsfinder.com/courts/ultra-padel-club,,,flat
golden point padel,US,all,2.6,,,https://www.padelcourtsfinder.com/courts/golden-point-padel,,,new
padel club nyc,US,all,4.3,4.5,0.2,https://www.padelcourtsfinder.com/new-york,,,flat
padel courts in nyc,US,all,2.7,2.6,-0.1,https://www.padelcourtsfinder.com/new-york,,,flat
padel courts new york,US,all,3.6,3.5,-0.1,https://www.padelcourtsfinder.com/new-york,,,flat
padel houston,US,all,7.9,8.3,0.4,https://www.padelcourtsfinder.com/texas/houston,,,flat
padel in new york,US,all,4.4,,,https://www.padelcourtsfinder.com/new-york,,,new
best control padel racket,US,all,7.7,8.5,0.8,https://www.padelcourtsfinder.com/blog/best-padel-rackets-control,,,flat
best padel rackets for intermediate players,US,all,9.7,,,https://www.padelcourtsfinder.com/blog/best-padel-rackets-intermediate,,,new
best padel shoes 2026,US,all,14.3,14.5,0.2,https://www.padelcourtsfinder.com/blog/best-padel-shoes,,,flat
best round padel racket,US,all,6.8,7.0,0.2,https://www.padelcourtsfinder.com/blog/best-round-padel-rackets,,,flat
best round padel racket 2026,US,all,4.1,3.5,-0.6,https://www.padelcourtsfinder.com/blog/best-round-padel-rackets,,,flat
best round shape padel racket,US,all,5.6,5.5,-0.1,https://www.padelcourtsfinder.com/blog/best-round-padel-rackets,,,flat
best teardrop padel racket 2026,US,all,4.4,4.3,-0.1,https://www.padelcourtsfinder.com/blog/best-teardrop-padel-rackets,,,flat
head extreme pro 2026 review,US,all,9.3,,,https://www.padelcourtsfinder.com/blog/head-extreme-pro-review,,,new
padel club,US,all,9.2,,,https://www.padelcourtsfinder.com/new-york,,,new
padel court finder,US,all,2.2,2.1,-0.1,https://www.padelcourtsfinder.com/,,,flat
padel courts los angeles,US,all,9.7,,,https://www.padelcourtsfinder.com/california/los-angeles,,,new
padel greenwich ct,US,all,8,,,https://www.padelcourtsfinder.com/courts/the-field-club-of-greenwich,,,new
padel new york city,US,all,4.5,,,https://www.padelcourtsfinder.com/new-york,,,new
best padel racket,US,all,27.4,,,https://www.padelcourtsfinder.com/blog/best-padel-rackets-control,,,new
padel court cost,US,all,14.7,,,https://www.padelcourtsfinder.com/blog/padel-court-cost,,,new
what is padel,US,all,2.3,,,https://www.padelcourtsfinder.com/blog/padel-vs-pickleball,,,new
padel vs pickleball,US,all,25.9,,,https://www.padelcourtsfinder.com/blog/padel-vs-pickleball,,,new
padel racket review,US,all,,,,,,,not ranked
indoor padel courts,US,all,14.4,14.8,0.4,https://www.padelcourtsfinder.com/new-york,,,flat
padel miami,US,all,9.4,10.2,0.8,https://www.padelcourtsfinder.com/blog/best-padel-clubs-miami,,,flat
padel dallas,US,all,8.8,,,https://www.padelcourtsfinder.com/blog/best-padel-clubs-dallas,,,new
padel austin,US,all,13.1,,,https://www.padelcourtsfinder.com/texas/austin,,,new
padel phoenix,US,all,8.1,7.6,-0.5,https://www.padelcourtsfinder.com/blog/best-padel-clubs-phoenix,,,flat
padel philadelphia,US,all,9.8,9.4,-0.4,https://www.padelcourtsfinder.com/blog/best-padel-clubs-philadelphia,,,flat
best padel bag,US,all,8.4,8.7,0.3,https://www.padelcourtsfinder.com/blog/best-padel-bags,,,flat
best padel rackets for beginners,US,all,17.2,18.8,1.6,https://www.padelcourtsfinder.com/blog/best-padel-rackets-beginners,,,gained
new york padel courts,US,all,2.8,3.1,0.3,https://www.padelcourtsfinder.com/new-york,,,flat
padel court new york,US,all,3.5,3.6,0.1,https://www.padelcourtsfinder.com/new-york,,,flat
padel ny,US,all,4.9,4.9,0.0,https://www.padelcourtsfinder.com/new-york,,,flat
padel ranch,US,all,6.2,6.0,-0.2,https://www.padelcourtsfinder.com/courts/padel-ranch,,,flat
ultra padel miami,US,all,7.6,8.0,0.4,https://www.padelcourtsfinder.com/courts/ultra-padel-club,,,flat
wilson bela v3 review,US,all,6.8,7.0,0.2,https://www.padelcourtsfinder.com/blog/wilson-bela-v3-review,,,flat
best beginner padel racket,US,all,15.9,18.6,2.7,https://www.padelcourtsfinder.com/blog/best-padel-rackets-beginners,,,gained
